channel,energy_ev,abacus_minus_cohp,lobster_minus_pcohp,lobster_scaled_minus_pcohp
Pt-C_total,-8.530080,-1.7351272855e-04,-5.0201675643e-03,-1.2409965712e-04
Pt-C_total,-8.480080,1.5609569362e-04,-5.6956983240e-03,-1.4079892753e-04
Pt-C_total,-8.430080,7.6022275073e-04,-6.1397486535e-03,-1.5177595030e-04
Pt-C_total,-8.380080,1.8023757773e-03,-5.7767577813e-03,-1.4280273532e-04
Pt-C_total,-8.330080,3.4934626994e-03,-3.5124157191e-03,-8.6827696653e-05
Pt-C_total,-8.280080,6.0770382848e-03,2.7483958500e-03,6.7940955805e-05
Pt-C_total,-8.230080,9.7913973292e-03,1.6746746459e-02,4.1398329177e-04
Pt-C_total,-8.180080,1.4805733645e-02,4.4888593376e-02,1.1096559976e-03
Pt-C_total,-8.130080,2.1138400890e-02,9.7582669061e-02,2.4122652514e-03
Pt-C_total,-8.080080,2.8579099338e-02,1.9064803272e-01,4.7128617101e-03
Pt-C_total,-8.030080,3.6646949867e-02,3.4481262916e-01,8.5238447727e-03
Pt-C_total,-7.980080,4.4614864738e-02,5.8036670257e-01,1.4346793782e-02
Pt-C_total,-7.930080,5.1613057299e-02,9.0529806864e-01,2.2379169315e-02
Pt-C_total,-7.880080,5.6795092324e-02,1.3002581149e+00,3.2142669376e-02
Pt-C_total,-7.830080,5.9521389378e-02,1.7111449900e+00,4.2299884183e-02
Pt-C_total,-7.780080,5.9502890847e-02,2.0582763335e+00,5.0881048090e-02
Pt-C_total,-7.730080,5.6860062326e-02,2.2640572905e+00,5.5967999048e-02
Pt-C_total,-7.680080,5.2084669705e-02,2.2842865450e+00,5.6468070711e-02
Pt-C_total,-7.630080,4.5927886973e-02,2.1253124082e+00,5.2538194744e-02
Pt-C_total,-7.580080,3.9260492357e-02,1.8368823519e+00,4.5408139694e-02
Pt-C_total,-7.530080,3.2949968146e-02,1.4879187869e+00,3.6781682866e-02
Pt-C_total,-7.480080,2.7778753517e-02,1.1421949930e+00,2.8235313899e-02
Pt-C_total,-7.430080,2.4400404415e-02,8.4588317638e-01,2.0910419983e-02
Pt-C_total,-7.380080,2.3310174948e-02,6.3033308398e-01,1.5581973827e-02
Pt-C_total,-7.330080,2.4802781039e-02,5.2293795291e-01,1.2927142336e-02
Pt-C_total,-7.280080,2.8904407465e-02,5.5817839617e-01,1.3798293920e-02
Pt-C_total,-7.230080,3.5292375900e-02,7.7885998005e-01,1.9253591685e-02
Pt-C_total,-7.180080,4.3242175742e-02,1.2196024536e+00,3.0148843516e-02
Pt-C_total,-7.130080,5.1652766175e-02,1.8725494794e+00,4.6289839006e-02
Pt-C_total,-7.080080,5.9185675129e-02,2.6518320531e+00,6.5553877300e-02
Pt-C_total,-7.030080,6.4511530797e-02,3.3870281269e+00,8.3728087525e-02
Pt-C_total,-6.980080,6.6605320337e-02,3.8710802873e+00,9.5693964434e-02
Pt-C_total,-6.930080,6.4995749094e-02,3.9475319569e+00,9.7583866686e-02
Pt-C_total,-6.880080,5.9877644546e-02,3.5882158819e+00,8.8701493511e-02
Pt-C_total,-6.830080,5.2043101588e-02,2.9067028147e+00,7.1854339131e-02
Pt-C_total,-6.780080,4.2656366351e-02,2.0981043017e+00,5.1865604307e-02
Pt-C_total,-6.730080,3.2955230693e-02,1.3482622023e+00,3.3329341077e-02
Pt-C_total,-6.680080,2.3980584234e-02,7.6762295690e-01,1.8975809977e-02
Pt-C_total,-6.630080,1.6410633166e-02,3.7991570517e-01,9.3916006076e-03
Pt-C_total,-6.580080,1.0525005025e-02,1.5079554270e-01,3.7276993058e-03
Pt-C_total,-6.530080,6.2741925067e-03,2.7238894873e-02,6.7335153078e-04
Pt-C_total,-6.480080,3.4024315482e-03,-3.6419515164e-02,-9.0029850329e-04
Pt-C_total,-6.430080,1.5721283101e-03,-6.9531292639e-02,-1.7188289963e-03
Pt-C_total,-6.380080,4.5643674379e-04,-8.7586556952e-02,-2.1651591400e-03
Pt-C_total,-6.330080,-2.1040508620e-04,-9.7825069832e-02,-2.4182574523e-03
Pt-C_total,-6.280080,-6.1841888501e-04,-1.0368776381e-01,-2.5631845496e-03
Pt-C_total,-6.230080,-8.8915108981e-04,-1.0729487630e-01,-2.6523531713e-03
Pt-C_total,-6.180080,-1.0918089030e-03,-1.1050599641e-01,-2.7317327736e-03
Pt-C_total,-6.130080,-1.2597828218e-03,-1.1518896449e-01,-2.8474967845e-03
Pt-C_total,-6.080080,-1.4039665873e-03,-1.2295898464e-01,-3.0395734084e-03
Pt-C_total,-6.030080,-1.5226153312e-03,-1.3452798085e-01,-3.3255615640e-03
Pt-C_total,-5.980080,-1.6088410738e-03,-1.4899514861e-01,-3.6831931642e-03
Pt-C_total,-5.930080,-1.6567113649e-03,-1.6363787111e-01,-4.0451645163e-03
Pt-C_total,-5.880080,-1.6660994193e-03,-1.7471473369e-01,-4.3189870194e-03
Pt-C_total,-5.830080,-1.6456924689e-03,-1.7906678771e-01,-4.4265707613e-03
Pt-C_total,-5.780080,-1.6133839828e-03,-1.7566863555e-01,-4.3425676852e-03
Pt-C_total,-5.730080,-1.5937601089e-03,-1.6623013767e-01,-4.1092459214e-03
Pt-C_total,-5.680080,-1.6132937563e-03,-1.5452724317e-01,-3.8199477702e-03
Pt-C_total,-5.630080,-1.6947288950e-03,-1.4484867518e-01,-3.5806914200e-03
Pt-C_total,-5.580080,-1.8525272613e-03,-1.4045059844e-01,-3.4719699864e-03
Pt-C_total,-5.530080,-2.0909168161e-03,-1.4263931977e-01,-3.5260756636e-03
Pt-C_total,-5.480080,-2.4050990259e-03,-1.5059214685e-01,-3.7226713152e-03
Pt-C_total,-5.430080,-2.7849178661e-03,-1.6189538201e-01,-4.0020897987e-03
Pt-C_total,-5.380080,-3.2193035236e-03,-1.7363514565e-01,-4.2922993633e-03
Pt-C_total,-5.330080,-3.6995330917e-03,-1.8376638540e-01,-4.5427458599e-03
Pt-C_total,-5.280080,-4.2199428896e-03,-1.9212992019e-01,-4.7494942975e-03
Pt-C_total,-5.230080,-4.7759224443e-03,-2.0042860962e-01,-4.9546397431e-03
Pt-C_total,-5.180080,-5.3602687261e-03,-2.1129480846e-01,-5.2232545918e-03
Pt-C_total,-5.130080,-5.9597094855e-03,-2.2687450628e-01,-5.6083881821e-03
Pt-C_total,-5.080080,-6.5533011226e-03,-2.4761891460e-01,-6.1211945630e-03
Pt-C_total,-5.030080,-7.1135533603e-03,-2.7191572711e-01,-6.7218171642e-03
Pt-C_total,-4.980080,-7.6099618213e-03,-2.9655178771e-01,-7.3308260537e-03
Pt-C_total,-4.930080,-8.0137072504e-03,-3.1798687014e-01,-7.8607060518e-03
Pt-C_total,-4.880080,-8.3020285368e-03,-3.3368821229e-01,-8.2488467170e-03
Pt-C_total,-4.830080,-8.4612510607e-03,-3.4268158189e-01,-8.4711648107e-03
Pt-C_total,-4.780080,-8.4883019967e-03,-3.4514834829e-01,-8.5321438242e-03
Pt-C_total,-4.730080,-8.3912156753e-03,-3.4142613727e-01,-8.4401299410e-03
Pt-C_total,-4.680080,-8.1892163944e-03,-3.3144672851e-01,-8.1934367400e-03
Pt-C_total,-4.630080,-7.9124725810e-03,-3.1513108939e-01,-7.7901105174e-03
Pt-C_total,-4.580080,-7.6009598091e-03,-2.9323470576e-01,-7.2488270513e-03
Pt-C_total,-4.530080,-7.3015715087e-03,-2.6772390263e-01,-6.6181943322e-03
Pt-C_total,-4.480080,-7.0629433443e-03,-2.4138758229e-01,-5.9671546441e-03
Pt-C_total,-4.430080,-6.9282786689e-03,-2.1698504988e-01,-5.3639186235e-03
Pt-C_total,-4.380080,-6.9273880588e-03,-1.9681167564e-01,-4.8652283320e-03
Pt-C_total,-4.330080,-7.0698005424e-03,-1.8281216281e-01,-4.5191572656e-03
Pt-C_total,-4.280080,-7.3409465393e-03,-1.7661727309e-01,-4.3660182159e-03
Pt-C_total,-4.230080,-7.7029797188e-03,-1.7892223863e-01,-4.4229974759e-03
Pt-C_total,-4.180080,-8.1008058006e-03,-1.8847371634e-01,-4.6591121262e-03
Pt-C_total,-4.130080,-8.4724439248e-03,-2.0161063049e-01,-4.9838595615e-03
Pt-C_total,-4.080080,-8.7613177303e-03,-2.1320470178e-01,-5.2704675787e-03
Pt-C_total,-4.030080,-8.9270718533e-03,-2.1879989625e-01,-5.4087820288e-03
Pt-C_total,-3.980080,-8.9516634685e-03,-2.1669743068e-01,-5.3568086130e-03
Pt-C_total,-3.930080,-8.8389962454e-03,-2.0867905446e-01,-5.1585925720e-03
Pt-C_total,-3.880080,-8.6087288615e-03,-1.9858812251e-01,-4.9091424930e-03
Pt-C_total,-3.830080,-8.2870127438e-03,-1.8966747457e-01,-4.6886220947e-03
Pt-C_total,-3.780080,-7.8977493785e-03,-1.8219952913e-01,-4.5040128250e-03
Pt-C_total,-3.730080,-7.4571792638e-03,-1.7312291841e-01,-4.2796369922e-03
Pt-C_total,-3.680080,-6.9728156623e-03,-1.5802632682e-01,-3.9064458951e-03
Pt-C_total,-3.630080,-6.4459811144e-03,-1.3438296230e-01,-3.3219766733e-03
Pt-C_total,-3.580080,-5.8762833397e-03,-1.0379842777e-01,-2.5659201873e-03
Pt-C_total,-3.530080,-5.2663524956e-03,-7.1473032116e-02,-1.7668292274e-03
Pt-C_total,-3.480080,-4.6255821268e-03,-4.3158647247e-02,-1.0668913451e-03
Pt-C_total,-3.430080,-3.9720078340e-03,-2.1877277080e-02,-5.4081114815e-04
Pt-C_total,-3.380080,-3.3317595723e-03,-6.9262330407e-03,-1.7121801902e-04
Pt-C_total,-3.330080,-2.7359820141e-03,4.2445062837e-03,1.0492513800e-04
Pt-C_total,-3.280080,-2.2158614024e-03,1.3309584996e-02,3.2901589704e-04
Pt-C_total,-3.230080,-1.7971447364e-03,1.9772118492e-02,4.8877116033e-04
Pt-C_total,-3.180080,-1.4957512929e-03,2.1728045083e-02,5.3712210005e-04
Pt-C_total,-3.130080,-1.3154523335e-03,1.7491656026e-02,4.3239762169e-04
Pt-C_total,-3.080080,-1.2474340105e-03,6.3611968881e-03,1.5725019984e-04
Pt-C_total,-3.030080,-1.2706618042e-03,-1.1636975259e-02,-2.8766861288e-04
Pt-C_total,-2.980080,-1.3520676366e-03,-3.6007701975e-02,-8.9011838981e-04
Pt-C_total,-2.930080,-1.4467460293e-03,-6.5190762171e-02,-1.6115301191e-03
Pt-C_total,-2.880080,-1.4997975063e-03,-9.5529150210e-02,-2.3615018093e-03
Pt-C_total,-2.830080,-1.4520290141e-03,-1.2116728252e-01,-2.9952821341e-03
Pt-C_total,-2.780080,-1.2506416133e-03,-1.3548337522e-01,-3.3491791252e-03
Pt-C_total,-2.730080,-8.6352789149e-04,-1.3338523743e-01,-3.2973126929e-03
Pt-C_total,-2.680080,-2.9307663994e-04,-1.1310513066e-01,-2.7959839496e-03
Pt-C_total,-2.630080,4.1599359795e-04,-7.6764197925e-02,-1.8976280213e-03
Pt-C_total,-2.580080,1.1792502610e-03,-2.9902319968e-02,-7.3919199064e-04
Pt-C_total,-2.530080,1.8868536013e-03,1.9531829609e-02,4.8283116578e-04
Pt-C_total,-2.480080,2.4266229500e-03,6.2552333932e-02,1.5463075871e-03
Pt-C_total,-2.430080,2.7096283836e-03,9.0907059058e-02,2.2472426896e-03
Pt-C_total,-2.380080,2.6910376200e-03,9.9087759824e-02,2.4494714294e-03
Pt-C_total,-2.330080,2.3804940192e-03,8.6026702573e-02,2.1265991934e-03
Pt-C_total,-2.280080,1.8396222975e-03,5.5544628891e-02,1.3730755621e-03
Pt-C_total,-2.230080,1.1679669858e-03,1.5275403950e-02,3.7761137816e-04
Pt-C_total,-2.180080,4.8153082838e-04,-2.5648794892e-02,-6.3404390611e-04
Pt-C_total,-2.130080,-1.1052910596e-04,-5.9066941951e-02,-1.4601479233e-03
Pt-C_total,-2.080080,-5.2559977778e-04,-7.9571604150e-02,-1.9670277267e-03
Pt-C_total,-2.030080,-7.1959154431e-04,-8.5475132655e-02,-2.1129642625e-03
Pt-C_total,-1.980080,-6.8928559017e-04,-7.8761540303e-02,-1.9470027685e-03
Pt-C_total,-1.930080,-4.6574663237e-04,-6.4008815081e-02,-1.5823121246e-03
Pt-C_total,-1.880080,-1.0185611250e-04,-4.6454501197e-02,-1.1483655867e-03
Pt-C_total,-1.830080,3.4165799577e-04,-2.9861043287e-02,-7.3817162193e-04
Pt-C_total,-1.780080,8.0758030133e-04,-1.5335824022e-02,-3.7910497578e-04
Pt-C_total,-1.730080,1.2485846411e-03,-1.8718152802e-03,-4.6271689441e-05
Pt-C_total,-1.680080,1.6286511669e-03,1.1789014366e-02,2.9142705335e-04
Pt-C_total,-1.630080,1.9214338788e-03,2.5298575703e-02,6.2538640997e-04
Pt-C_total,-1.580080,2.1080391496e-03,3.6123229603e-02,8.9297425843e-04
Pt-C_total,-1.530080,2.1758547035e-03,4.0687709497e-02,1.0058092151e-03
Pt-C_total,-1.480080,2.1185915522e-03,3.6262716936e-02,8.9642241628e-04
Pt-C_total,-1.430080,1.9365379252e-03,2.2372785315e-02,5.5306022179e-04
Pt-C_total,-1.380080,1.6358070578e-03,1.1032016756e-03,2.7271390431e-05
Pt-C_total,-1.330080,1.2260794334e-03,-2.3690602554e-02,-5.8563695660e-04
Pt-C_total,-1.280080,7.1745117693e-04,-4.7733197686e-02,-1.1799752479e-03
Pt-C_total,-1.230080,1.1780695626e-04,-6.7764012370e-02,-1.6751414356e-03
Pt-C_total,-1.180080,-5.6782630493e-04,-8.2590947536e-02,-2.0416665658e-03
Pt-C_total,-1.130080,-1.3352515069e-03,-9.3343351955e-02,-2.3074683911e-03
Pt-C_total,-1.080080,-2.1769029038e-03,-1.0279565530e-01,-2.5411314289e-03
Pt-C_total,-1.030080,-3.0770517822e-03,-1.1409694334e-01,-2.8205017792e-03
Pt-C_total,-0.980080,-4.0084521108e-03,-1.2953229603e-01,-3.2020671258e-03
Pt-C_total,-0.930080,-4.9321193055e-03,-1.4982009178e-01,-3.7035859425e-03
